song,motif,variant,start,stop
A0,aa,1,18,1690
A0,ab,1,1754,2930
A0,ac,1,2930,3609
A0,ac,2,3609,4442
A0,ad,1,4442,5488
A0,ae,1,5490,6267
A0,ae,2,6267,7224
A0,af,1,7250,8034
A0,af,2,8053,8806
A0,af,3,8832,9585
A2,ak,1,33,512
A2,ak,2,554,1470
A2,ak,3,1502,2371
A2,ak,4,2442,3359
A2,al,1,3361,3967
A2,al,2,3968,4678
A2,am,1,4678,5602
A2,am,2,5603,6395
A2,am,3,6400,6825
A2,an,1,6825,7474
A2,ao,1,7490,8179
A2,ao,2,8198,9202
A2,ap,1,9234,9781
A6,bb,4,53,1169
A6,bb,5,1169,2285
A6,bb,6,2287,3232
A6,bb,7,3248,4208
A6,bb,8,4335,5299
A6,bb,9,5303,6138
A6,bc,1,6143,6953
A6,bc,2,6953,7819
A6,bd,1,7819,8573
A6,bd,2,8573,9341
A6,bd,3,9341,10157
A8,bg,1,17,666
A8,bh,1,689,1375
A8,bg,2,1399,2224
A8,bh,2,2264,3051
A8,bh,3,3079,3993
A8,bh,4,4009,4643
A8,bi,1,4650,5204
A8,bh,5,5206,5870
A8,bi,2,5870,6720
A8,bj,1,6720,7360
A8,bi,3,7360,8107
A8,bj,2,8140,8770
A8,bk,1,8770,9239
B0,aa,1,54,731
B0,aa,2,788,1483
B0,ab,1,1483,2336
B0,ac,1,2336,3305
B0,ac,2,3305,4027
B0,ad,1,4090,4864
B0,ae,1,4864,5756
B0,ae,2,5854,6779
B0,af,1,6869,7499
B0,af,2,7499,8175
B0,af,3,8175,8742
B0,ag,1,8742,9438
B2,an,1,70,975
B2,an,2,1406,2623
B2,ao,1,2880,3988
B2,ao,2,4041,5120
B2,ao,3,5223,6092
B2,ap,1,6287,6956
B2,ap,2,7003,7625
B2,ap,3,7684,8435
B2,ap,4,8491,9155
B2,aq,1,9205,9893
B6,al,7,7,638
B6,al,8,710,1578
B6,al,9,1652,2509
B6,at,7,2509,3059
B6,at,8,3061,3742
B6,at,9,3742,4454
B6,bc,1,4513,5313
B6,bc,2,5367,6107
B6,au,6,6144,6777
B6,au,7,6879,8053
B6,av,3,8275,9070
B6,av,4,9203,10171
B8,ax,5,39,846
B8,ax,6,932,1728
B8,ax,7,1816,2683
B8,ay,3,2750,3461
B8,bd,1,3514,4434
B8,bd,2,4494,5386
B8,be,4,5468,6245
B8,be,5,6313,7159
B8,bg,3,7246,7967
B8,bg,4,8008,8789
B8,bg,5,8858,9599
B8,bh,4,9661,10823
C0,aa,1,38,893
C0,ab,2,894,1641
C0,ac,1,1642,2311
C0,ac,2,2313,3086
C0,ac,3,3090,3934
C0,ad,1,3941,4645
C0,ad,2,4655,5292
C0,ae,1,5335,5830
C0,ad,3,5830,6165
C0,af,1,6174,6698
C0,af,2,6698,7427
C0,af,3,7427,8132
C0,af,4,8132,8779
C0,ag,1,8779,9538
C2,aq,1,29,501
C2,aq,2,507,1126
C2,ar,1,1128,1624
C2,ar,2,1624,2431
C2,as,1,2431,3187
C2,at,1,3247,3898
C2,at,2,3957,4584
C2,au,1,4604,5175
C2,av,1,5213,6031
C2,av,2,6112,6809
C2,aw,1,6854,7678
C2,ax,1,7744,8565
C2,ax,2,8619,9484
C6,bh,1,14,530
C6,ci,1,535,1015
C6,aj,2,1023,1688
C6,ak,2,1698,2321
C6,al,3,2323,3151
C6,al,4,3151,3950
C6,am,5,3950,4700
C6,am,6,4700,5632
C6,an,3,5632,6274
C6,ao,6,6274,6862
C6,ap,4,6875,8074
C6,ao,7,8101,8685
C6,ap,5,8737,9181
C6,be,1,9181,9791
C6,bb,2,9865,10673
C8,ay,4,20,896
C8,bi,1,973,1878
C8,bi,2,1878,2824
C8,bj,1,2824,3606
C8,bj,2,3606,4408
C8,bj,3,4410,5236
C8,bk,1,5236,5682
C8,bk,2,5682,6355
C8,bk,3,6355,7146
C8,bl,1,7148,8042
C8,bl,2,8044,8814
C8,bl,3,8816,9642
